ID,Name,Level,Rating,Tags,link
scp-081,Spontaneous Combustion Virus,Euclid,362,"['fire', 'mind-affecting', 'uncontained', 'virus']",https://scp-wiki.wikidot.com/scp-081
scp-082,"""Fernand"" the Cannibal",Euclid,752,"['alive', 'humanoid', 'predatory', 'sapient']",https://scp-wiki.wikidot.com/scp-082
scp-083,An Abandoned Row Home,Euclid,297,"['building', 'extradimensional', 'portal', 'spatial']",https://scp-wiki.wikidot.com/scp-083
scp-084,Static Tower,Euclid,560,"['radioactive', 'spatial', 'structure']",https://scp-wiki.wikidot.com/scp-084
scp-085,Hand-drawn ''Cassy'',Safe,1601,"['artistic', 'autonomous', 'foundation-made', 'humanoid', 'inscription', 'mobile', 'sapient', 'visual']",https://scp-wiki.wikidot.com/scp-085
scp-086,The Office of Dr. [REDACTED],Safe,680,"['appliance', 'biological', 'rewrite', 'sapient', 'tool']",https://scp-wiki.wikidot.com/scp-086
scp-087,The Stairwell,Euclid,3383,"['acoustic', 'building', 'light', 'location', 'spatial']",https://scp-wiki.wikidot.com/scp-087
scp-088,The Lizard King,Safe,128,"['alive', 'biohazard', 'corrosive', 'humanoid', 'mind-affecting', 'toxic', 'transfiguration']",https://scp-wiki.wikidot.com/scp-088
scp-089,Tophet,Euclid,805,"['fire', 'humanoid', 'predictive', 'religious', 'ritual', 'sculpture']",https://scp-wiki.wikidot.com/scp-089
scp-090,Apocorubik's Cube,Keter,199,"['artifact', 'autonomous', 'indestructible', 'polyhedral', 'predictive']",https://scp-wiki.wikidot.com/scp-090
scp-091,Nostalgia,Safe,370,"['artifact', 'cognitohazard', 'memory-affecting', 'mind-affecting', 'visual']",https://scp-wiki.wikidot.com/scp-091
scp-092,"""The Best of The 5th Dimension""",Safe,616,"['are-we-cool-yet', 'auditory', 'cognitohazard', 'compulsion', 'extradimensional', 'mathematical', 'media', 'musical', 'rewrite', 'telekinetic', 'transfiguration']",https://scp-wiki.wikidot.com/scp-092
scp-093,Red Sea Object,Euclid,3031,"['artifact', 'autonomous', 'extradimensional', 'featured', 'indestructible', 'inscription', 'portal', 'rewrite']",https://scp-wiki.wikidot.com/scp-093
scp-094,Miniature Event Horizon,Keter,316,"['acoustic', 'rewrite', 'spatial', 'sphere']",https://scp-wiki.wikidot.com/scp-094
scp-095,The Atomic Adventures of Ronnie Ray-Gun,Safe,322,"['artistic', 'document', 'predictive']",https://scp-wiki.wikidot.com/scp-095
scp-096,"The ""Shy Guy""",Euclid,3770,"['alive', 'cognitohazard', 'doctor-dan', 'humanoid', 'visual']",https://scp-wiki.wikidot.com/scp-096
